Tiempo (s),Temperatura 1 (°C),,,,,,T°
4.05,27.03,27.02,27.02,27.02,27.02,27.02,27.02
4.06,27.02,27.02,27.02,27.02,27.02,27.02,27.02
4.07,27.02,27.02,27.02,27.02,27.02,27.02,27.02
4.08,27.03,27.02,27.03,27.02,27.02,27.02,27.02
4.09,27.02,27.03,27.03,27.03,27.03,27.03,27.03
4.1,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.11,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.12,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.13,27.02,27.03,27.03,27.03,27.03,27.03,27.03
4.14,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.15,27.02,27.03,27.03,27.03,27.03,27.03,27.03
4.16,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.17,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.18,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.19,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.2,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.21,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.22,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.23,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.24,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.25,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.26,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.27,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.28,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.29,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.3,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.31,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.32,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.33,27.03,27.03,27.03,27.03,27.03,27.03,27.03
