"nR","V"
"327",6.65037879624517e-05,6.25470608905175e-07
"328",6.65009738434354e-05,6.2580316984365e-07
"329",6.65779476333262e-05,6.2580316984365e-07
"330",6.66161216266867e-05,6.2580316984365e-07
"331",6.66156757625043e-05,6.25798981319733e-07
"332",6.6606991188646e-05,6.2680083930406e-07
"333",6.65495689655172e-05,6.29149710858856e-07
"334",6.64637906396934e-05,6.30155782005589e-07
"335",6.65726416925466e-05,6.3082298136646e-07
"336",6.6553596061751e-05,6.32837259423117e-07
"337",6.64943542719454e-05,6.34851577925772e-07
"338",6.6443504422528e-05,6.35853432437226e-07
"339",6.64285775481246e-05,6.37198468581832e-07
"340",6.64473600016064e-05,6.38873921963006e-07
"341",6.64817224380792e-05,6.39204307768508e-07
"342",6.65594826143703e-05,6.39202168602122e-07
"343",6.65550960306013e-05,6.39534689151337e-07
"344",6.65686124962351e-05,6.41544794350925e-07
"345",6.64931829134427e-05,6.44226392867661e-07
"346",6.6478531220926e-05,6.45234700775754e-07
"347",6.65472696422774e-05,6.4590186976878e-07
"348",6.64485237913563e-05,6.47242692583148e-07
"349",6.65962852151563e-05,6.47912023185612e-07
"350",6.65956165978936e-05,6.47905518240749e-07
"351",6.66346928325932e-05,6.47901181683405e-07
"352",6.66342468366503e-05,6.47896845184112e-07
"353",6.6668442241662e-05,6.48229333297637e-07
"354",6.66213452650672e-05,6.51247778696233e-07
"355",6.66226681436512e-05,6.53599145937009e-07
"356",6.66166682284276e-05,6.5393162164333e-07
"357",6.66561119105786e-05,6.53927244737459e-07
"358",6.66957782678683e-05,6.53925056306495e-07
"359",6.6632454628511e-05,6.55263695111626e-07
"360",6.65374167941179e-05,6.58284444474192e-07
"361",6.6571020856202e-05,6.58616904500549e-07
"362",6.65707980683313e-05,6.58614700360431e-07
"363",6.66443745377513e-05,6.58944951825736e-07
"364",6.66841238500333e-05,6.58940541408841e-07
"365",6.67642911644033e-05,6.58938336222533e-07
"366",6.68040392750054e-05,6.58933925894196e-07
